model_id,label,device_type,text,response,tool_call,entity_diff
"gemini-1.5-flash","Bad","fan","Turn on the fans","Which area would you like to turn on the fans in? 
","None","{'fan.bedroom_fan': {'expected': {'state': 'on', 'percentage': 100}, 'got': {'state': 'off', 'percentage': 0}}}"
"gemini-1.5-flash","Good","fan","Turn off the bedroom fan","Done. 
","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': 'fan', 'name': 'Bedroom Fan'}}","{}"
"gemini-1.5-flash","Bad","fan","Turn off all the fans","Which area? 
","None","{'fan.bedroom_fan': {'expected': {'state': 'off', 'percentage': 0}, 'got': {'state': 'on', 'percentage': 100}}}"
"gemini-1.5-flash","Good","light","Please turn on the kitchen light","Done. 
","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': 'light', 'name': 'Kitchen Light'}}","{}"
"gemini-1.5-flash","Good","light","Kitchen light off","Ok. I've turned off the Kitchen Light. 
","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': 'light', 'name': 'Kitchen Light'}}","{}"
"gemini-1.5-flash","Bad","light","Turn on all lights","Which area would you like to turn on the lights in? 
","None","{'light.kitchen_light': {'expected': {'state': 'on', 'color_mode': 'brightness', 'brightness': 0}, 'got': {'state': 'off', 'color_mode': None, 'brightness': None}}, 'light.living_room_light': {'expected': {'state': 'on', 'color_mode': 'brightness', 'brightness': 0}, 'got': {'state': 'off', 'color_mode': None, 'brightness': None}}, 'light.dining_room_light': {'expected': {'state': 'on', 'color_mode': 'brightness', 'brightness': 0}, 'got': {'state': 'off', 'color_mode': None, 'brightness': None}}, 'light.bedroom_1_light': {'expected': {'state': 'on', 'color_mode': 'onoff'}, 'got': {'state': 'off', 'color_mode': None}}, 'light.bedroom_2_light': {'expected': {'state': 'on', 'color_mode': 'onoff'}, 'got': {'state': 'off', 'color_mode': None}}, 'light.bedroom_3_light': {'expected': {'state': 'on', 'color_mode': 'onoff'}, 'got': {'state': 'off', 'color_mode': None}}, 'light.bedroom_4_light': {'expected': {'state': 'on', 'color_mode': 'onoff'}, 'got': {'state': 'off', 'color_mode': None}}, 'light.garage_door_opener': {'expected': {'state': 'on', 'color_mode': ['onoff']}, 'got': {'state': 'off', 'color_mode': None}}}"
"gemini-1.5-flash","Good","light","Toggle the kitchen light","Done. 
","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': 'light', 'name': 'Kitchen Light'}}","{}"
"gemini-1.5-flash","Good","todo-list","add apples to my trader joe's list","Ok, I've added apples to your Trader Joe's list. Anything else? 
","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe'S'}}","{}"
"gemini-1.5-flash","Good","todo-list","put apples on the trader joes list","Ok. I've added apples to the Trader Joe's list. 
","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe'S'}}","{}"
"gemini-1.5-flash","Good","todo-list","put apples on the list","Ok. I've added apples to the Trader Joe's list. 
","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe'S'}}","{}"
"gemini-1.5-flash","Good","todo-list","put apples on the shopping list","OK. I've added apples to the Trader Joe's list. Anything else? 
","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe'S'}}","{}"
"gemini-1.5-flash","Good","todo-list","Put history homework on personal tasks list","Done. 
","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'History homework', 'name': 'Personal Tasks'}}","{}"
"gemini-1.5-flash","Good","todo-list","Put clean the kitchen on personal tasks list","Ok. I've added clean the kitchen to your personal tasks list. 
","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'Clean the kitchen', 'name': 'Personal Tasks'}}","{}"
"gemini-1.5-flash","Good","todo-list","Add history homework to my personal tasks","Ok. I've added history homework to your personal tasks. 
","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","{}"
"gemini-1.5-flash","Good","todo-list","Add history homework to my tasks","Ok. I've added history homework to your personal tasks. 
","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'History homework', 'name': 'Personal Tasks'}}","{}"
"gemini-1.5-flash","Good","todo-list","Put history homework on my task list","Ok. I've added history homework to your personal tasks. Anything else? 
","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'History homework', 'name': 'Personal Tasks'}}","{}"
"gemini-1.5-flash","Good","todo-list","Add clean the kitchen to my todo list","Ok, I added clean the kitchen to your personal tasks todo list. 
","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'Clean the kitchen', 'name': 'Personal Tasks'}}","{}"
"gemini-1.5-flash","Bad","cover-garage copy","Close the garage door","Ok. I've closed the garage door. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 0.0, 'domain': 'cover', 'name': 'Garage Door Opener'}}","{'cover.garage_door_opener': {'expected': {'state': 'closing'}, 'got': {'state': 'open'}}}"
"gemini-1.5-flash","Bad","cover-garage copy","Close the garage door","OK. I've closed the garage door. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 0.0, 'domain': 'cover', 'name': 'Garage Door Opener'}}","{'cover.garage_door_opener': {'expected': {'state': 'closing'}, 'got': {'state': 'open'}}}"
"gemini-1.5-flash","Bad","cover-garage copy","Please open the garage door","Ok. I have opened the garage door. 
","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': 'cover', 'name': 'Garage Door Opener'}}","{'cover.garage_door_opener': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gemini-1.5-flash","Good","cover-garage copy","Open the garage door","OK. I've opened the garage door. 
","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': 'cover', 'name': 'Garage Door Opener'}}","{}"
"gemini-1.5-flash","Bad","cover-garage","Close the garage door","Ok, I've closed the garage door. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 100.0, 'domain': 'cover', 'name': 'Garage Door Opener'}}","{'cover.garage_door_opener': {'expected': {'state': 'closing'}, 'got': {'state': 'closed'}}}"
"gemini-1.5-flash","Bad","cover-garage","Close the garage door","Ok. I have closed the garage door. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 0.0, 'domain': 'cover', 'name': 'Garage Door Opener'}}","{'cover.garage_door_opener': {'expected': {'state': 'closing'}, 'got': {'state': 'closed'}}}"
"gemini-1.5-flash","Bad","cover-garage","Please open the garage door","Ok. I've opened the garage door. 
","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': 'cover', 'name': 'Garage Door Opener'}}","{'cover.garage_door_opener': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gemini-1.5-flash","Bad","cover-garage","Open the garage door","OK. I've opened the garage door. 
","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': 'cover', 'name': 'Garage Door Opener'}}","{'cover.garage_door_opener': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gemini-1.5-flash","Bad","cover-curtain copy","Open the smart curtain","Ok. I've opened the Smart Curtain. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 100.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gemini-1.5-flash","Bad","cover-curtain copy","Open the living room smart curtain","OK. I've opened the Smart Curtain. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 100.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gemini-1.5-flash","Bad","cover-curtain copy","Open the living room curtains","Ok. I've opened the Smart Curtain in the Living Room. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 100.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gemini-1.5-flash","Good","cover-curtain copy","Close the smart cutains","Ok. I've closed the smart curtain. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 0.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{}"
"gemini-1.5-flash","Bad","cover-curtain copy","Close the living room curtain","OK. I've closed the living room curtain. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 0.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 100}, 'got': {'current_position': 90}}}"
"gemini-1.5-flash","Bad","cover-curtain copy","Close the curtains","Ok. I have closed the curtains. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 0.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 100}, 'got': {'current_position': 90}}}"
"gemini-1.5-flash","Bad","cover-curtain copy","Set the smart curtain to 50%","Ok. I've set the smart curtain to 50%. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 50.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gemini-1.5-flash","Bad","cover-curtain copy","Set the living room curtains to 50%","OK. I've set the living room curtains to 50%. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 50.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 0}, 'got': {'current_position': 30}}}"
"gemini-1.5-flash","Good","cover-curtain","Open the smart curtain","OK. I've opened the Smart Curtain. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 100.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{}"
"gemini-1.5-flash","Bad","cover-curtain","Open the living room smart curtain","Ok. I've opened the smart curtain in the living room. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 100.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gemini-1.5-flash","Bad","cover-curtain","Open the living room curtains","Ok. I've opened the living room curtains. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 100.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gemini-1.5-flash","Bad","cover-curtain","Close the smart cutains","Done. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 0.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 100}, 'got': {'current_position': 90}}}"
"gemini-1.5-flash","Bad","cover-curtain","Close the living room curtain","OK. I have closed the living room curtain. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 0.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 100}, 'got': {'current_position': 90}}}"
"gemini-1.5-flash","Bad","cover-curtain","Close the curtains","OK. I've closed the curtains. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 100.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'state': 'closing'}, 'got': {'state': 'closed'}}}"
"gemini-1.5-flash","Bad","cover-curtain","Set the smart curtain to 50%","OK. I've set the Smart Curtain to 50%. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 50.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gemini-1.5-flash","Bad","cover-curtain","Set the living room curtains to 50%","OK. The living room curtains are now at 50%. 
","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 50.0, 'domain': 'cover', 'name': 'Smart Curtain'}}","{'cover.smart_curtain': {'expected': {'current_position': 0}, 'got': {'current_position': 10}}}"
"gpt-4o","Good","water-valve","open the front yard valve","The front yard valve is now open.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Irrigation Valve'}}","{}"
"gpt-4o","Good","water-valve","open the irrigation valve","The irrigation valve is now open.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Irrigation Valve'}}","{}"
"gpt-4o","Good","water-valve","turn on the water in the front yard","The irrigation valve in the front yard is now on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Irrigation Valve', 'area': 'Front yard'}}","{}"
"gpt-4o","Good","water-valve","water the front yard","The irrigation valve in the front yard is now on.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Front yard', 'domain': 'valve'}}","{}"
"gpt-4o","Good","water-valve","water the garden","The garden is being watered now.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Irrigation Valve'}}","{}"
"gpt-4o","Good","water-valve","close the front yard valve","The front yard valve is now closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Irrigation Valve', 'area': 'Front yard'}}","{}"
"gpt-4o","Good","water-valve","close the irrigation valve","The irrigation valve is now closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Irrigation Valve'}}","{}"
"gpt-4o","Good","water-valve","turn off the water in the front yard","The water in the front yard has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Front yard', 'domain': 'valve'}}","{}"
"gpt-4o","Good","water-valve","set the irrigation valve to 50%","The irrigation valve has been set to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'name': 'Irrigation Valve', 'position': 50}}","{}"
"gpt-4o","Good","media-player","Pause Outdoor Speakers","Outdoor Speakers have been paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Pause the music","The music is paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Pause the music outside","The music outside has been paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'area': 'Rooftop Terrace'}}","{}"
"gpt-4o","Good","media-player","Pause the Rooftop Terrace music","The music on the Rooftop Terrace has been paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'area': 'Rooftop Terrace'}}","{}"
"gpt-4o","Good","media-player","Stop the Outdoor Speakers","The Outdoor Speakers have been stopped.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Stop the music","The music has been stopped.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Resume Outdoor Speakers","Outdoor Speakers are now playing.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Resume playing the music","Music is now playing again.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Unpause the Outdoor Speakers","The Outdoor Speakers have been unpaused.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Unpause the Rooftop Terrace music","The Rooftop Terrace music has been resumed.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'area': 'Rooftop Terrace', 'domain': 'media_player'}}","{}"
"gpt-4o","Good","media-player","Skip song on outdoor speakers","The song on the outdoor speakers has been skipped.","{'tool_name': 'HassMediaNext', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Skip to the next track on the outdoor speakers","Skipped to the next track on the outdoor speakers.","{'tool_name': 'HassMediaNext', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Next song","Skipped to the next song on the Outdoor Speakers.","{'tool_name': 'HassMediaNext', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Skip to the next track","Skipped to the next track on the Outdoor Speakers.","{'tool_name': 'HassMediaNext', 'tool_args': {'name': 'Outdoor Speakers'}}","{}"
"gpt-4o","Good","media-player","Set outdoor speakers volume to 50%","The volume for the Outdoor Speakers has been set to 50%.","{'tool_name': 'HassSetVolume', 'tool_args': {'name': 'Outdoor Speakers', 'volume_level': 50}}","{}"
"gpt-4o","Bad","media-player","Turn the volume down to 50%","For which media player would you like to set the volume to 50%?","None","{'media_player.outdoor_speakers': {'expected': {'volume_level': 0.5}, 'got': {'volume_level': 1.0}}}"
"gpt-4o","Good","media-player","Mute the outdoor speakers","The outdoor speakers have been muted.","{'tool_name': 'HassSetVolume', 'tool_args': {'name': 'Outdoor Speakers', 'volume_level': 0}}","{}"
