task_id,model_id,label,category,task_prefix,text,response,tool_call
"home5_cn_light_light-set_the_living_room_light_to_50_brightness","gemini-1.5-flash","Good","light","reports/assist","Set the living room light to 50% brightness","OK. The living room light is now at 50% brightness.","{'tool_name': 'HassLightSet', 'tool_args': {'brightness': 50, 'name': 'Living Room Light'}}"
"home7_dk_cover_curtain_cover_curtain-close_the_living_room_curtains","gemini-1.5-flash","Good","cover","reports/assist","Close the living room curtains","OK. The living room curtains are now closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain'}}"
"home7_dk_cover_curtain_cover_curtain-close_the_living_room_smart_curtain","gemini-1.5-flash","Good","cover","reports/assist","Close the living room smart curtain","OK. The smart curtain in the living room is now closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-close_the_smart_cutains","gemini-1.5-flash","Good","cover","reports/assist","Close the smart cutains","OK. I've closed the smart curtains.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain'}}"
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_curtains","gemini-1.5-flash","Good","cover","reports/assist","Open the living room curtains","OK. I've opened the living room curtains.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_smart_curtain","gemini-1.5-flash","Good","cover","reports/assist","Open the living room smart curtain","OK. I've opened the smart curtain in the living room.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'domain': 'cover'}}"
"home7_dk_cover_curtain_cover_curtain-open_the_smart_curtain","gemini-1.5-flash","Good","cover","reports/assist","Open the smart curtain","OK. I've opened the smart curtain.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain'}}"
"home7_dk_cover_curtain_cover_curtain-set_the_living_room_curtains_to_50","gemini-1.5-flash","Good","cover","reports/assist","Set the living room curtains to 50%","OK. I've set the living room curtains to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover'], 'position': 50}}"
"home7_dk_cover_curtain_cover_curtain-set_the_smart_curtain_to_50","gemini-1.5-flash","Good","cover","reports/assist","Set the smart curtain to 50%","OK. I've set the smart curtain to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'name': 'Smart Curtain', 'position': 50, 'domain': ['cover']}}"
"home7_dk_media_player_media_player-mute_the_outdoor_speakers","gemini-1.5-flash","Good","media-player","reports/assist","Mute the outdoor speakers","OK. I've muted the outdoor speakers.","{'tool_name': 'HassSetVolume', 'tool_args': {'domain': ['media_player'], 'area': 'Rooftop Terrace', 'device_class': ['speaker'], 'volume_level': 0}}"
"home7_dk_media_player_media_player-pause_outdoor_speakers","gemini-1.5-flash","Good","media-player","reports/assist","Pause Outdoor Speakers","OK. Paused Outdoor Speakers.","{'tool_name': 'HassMediaPause', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}"
"home7_dk_media_player_media_player-pause_the_rooftop_terrace_music","gemini-1.5-flash","Good","media-player","reports/assist","Pause the Rooftop Terrace music","OK. Paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'area': 'Rooftop Terrace', 'device_class': ['speaker'], 'domain': ['media_player']}}"
"home7_dk_media_player_media_player-resume_outdoor_speakers","gemini-1.5-flash","Good","media-player","reports/assist","Resume Outdoor Speakers","OK. Resumed Outdoor Speakers.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}"
"home7_dk_media_player_media_player-set_outdoor_speakers_volume_to_50","gemini-1.5-flash","Good","media-player","reports/assist","Set outdoor speakers volume to 50%","OK. I've set the volume of the outdoor speakers to 50%.","{'tool_name': 'HassSetVolume', 'tool_args': {'device_class': ['speaker'], 'area': 'Rooftop Terrace', 'volume_level': 50, 'domain': ['media_player']}}"
"home7_dk_media_player_media_player-skip_song_on_outdoor_speakers","gemini-1.5-flash","Good","media-player","reports/assist","Skip song on outdoor speakers","OK. Skipping song.","{'tool_name': 'HassMediaNext', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}"
"home7_dk_media_player_media_player-skip_to_the_next_track_on_the_outdoor_speakers","gemini-1.5-flash","Good","media-player","reports/assist","Skip to the next track on the outdoor speakers","OK. Skipping to the next track.","{'tool_name': 'HassMediaNext', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}"
"home7_dk_media_player_media_player-stop_the_outdoor_speakers","gemini-1.5-flash","Good","media-player","reports/assist","Stop the Outdoor Speakers","OK. Stopped Outdoor Speakers.","{'tool_name': 'HassMediaPause', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}"
"home7_dk_media_player_media_player-turn_the_volume_down_to_50","gemini-1.5-flash","Good","media-player","reports/assist","Turn the volume down to 50%","OK. Volume set to 50%.","{'tool_name': 'HassSetVolume', 'tool_args': {'volume_level': 50, 'domain': ['media_player'], 'device_class': ['speaker'], 'area': 'Rooftop Terrace'}}"
"home7_dk_media_player_media_player-unpause_the_rooftop_terrace_music","gemini-1.5-flash","Good","media-player","reports/assist","Unpause the Rooftop Terrace music","Okay, I've unpaused the music on the Rooftop Terrace.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'device_class': ['speaker'], 'area': 'Rooftop Terrace', 'domain': ['media_player']}}"
"dom1_pl_lights_lights-dining_room_light_off","gemini-2.0-flash","Good","light","reports/assist","Dining room light off","OK. Dining Room Light is off.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'name': 'Dining Room Light'}}"
"dom1_pl_lights_lights-kitchen_light_off","gemini-2.0-flash","Good","light","reports/assist","Kitchen light off","OK. I've turned off the kitchen light.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Kitchen Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light","gemini-2.0-flash","Good","light","reports/assist","Please turn on the kitchen light","OK, I've turned on the kitchen light.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Kitchen Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-turn_on_the_backyard_light","gemini-2.0-flash","Good","light","reports/assist","Turn on the Backyard light","OK. I've turned on the Garden Light.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garden Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-turn_on_the_living_room_light","gemini-2.0-flash","Good","light","reports/assist","Turn on the living room light","OK. I've turned on the living room light.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'name': 'Living Room Light'}}"
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list","gemini-2.0-flash","Good","todo","reports/assist","Add clean the kitchen to my todo list","OK. I've added clean the kitchen to your Personal Tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks","gemini-2.0-flash","Good","todo","reports/assist","Add history homework to my personal tasks","OK. I've added history homework to Personal Tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-add_history_homework_to_my_tasks","gemini-2.0-flash","Good","todo","reports/assist","Add history homework to my tasks","OK. I've added history homework to your tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Personal Tasks', 'item': 'history homework'}}"
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list","gemini-2.0-flash","Good","todo","reports/assist","Put history homework on personal tasks todo list","OK. I've added history homework to the Personal Tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
"home1_us_cover_garage_cover_garage-close_the_garage_door","gemini-2.0-flash","Good","cover","reports/assist","Close the garage door","OK. I've closed the garage door.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Garage', 'domain': ['cover']}}"
"home1_us_cover_garage_cover_garage-open_the_garage_door","gemini-2.0-flash","Good","cover","reports/assist","Open the garage door","OK. I've opened the garage door.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Garage', 'domain': ['cover']}}"
"home1_us_cover_garage_cover_garage-please_close_the_garage_door","gemini-2.0-flash","Good","cover","reports/assist","Please close the garage door","OK. I've closed the garage door.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'area': 'Garage'}}"
"home1_us_cover_garage_cover_garage-please_open_the_garage_door","gemini-2.0-flash","Good","cover","reports/assist","Please open the garage door","OK, I've opened the garage door.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Garage', 'domain': ['cover']}}"
"home1_us_lock_smart_lock-lock_smart_lock","gemini-2.0-flash","Good","lock","reports/assist","Lock smart lock","OK. I've locked the Smart Lock.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': 'lock'}}"
"home1_us_lock_smart_lock-lock_the_entry_lock","gemini-2.0-flash","Good","lock","reports/assist","Lock the entry lock","OK. I've locked the Smart Lock.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['lock'], 'name': 'Smart Lock'}}"
"home1_us_lock_smart_lock-unlock_smart_lock","gemini-2.0-flash","Good","lock","reports/assist","Unlock smart lock","OK. I've unlocked the Smart Lock.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': 'lock', 'name': 'Smart Lock'}}"
"home1_us_lock_smart_lock-unlock_the_entry_lock","gemini-2.0-flash","Good","lock","reports/assist","Unlock the entry lock","OK. I've unlocked the Smart Lock in the Entry.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Entry', 'name': 'Smart Lock', 'domain': ['lock']}}"
"home1_us_vacuum_vacuum-return_roborock_downstairs_to_base","gemini-2.0-flash","Good","vacuum","reports/assist","Return Roborock Downstairs to base","OK. I've returned Roborock Downstairs to base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'domain': ['vacuum'], 'name': 'Roborock Downstairs'}}"
"home1_us_vacuum_vacuum-return_vacuum_in_the_living_room_to_base","gemini-2.0-flash","Good","vacuum","reports/assist","Return vacuum in the living room to base","OK. I have returned the vacuum in the Living Room to base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'area': 'Living Room', 'domain': ['vacuum']}}"
"home1_us_vacuum_vacuum-start_roborock_downstairs_vacuum","gemini-2.0-flash","Good","vacuum","reports/assist","Start Roborock Downstairs vacuum","OK. I've started Roborock Downstairs.","{'tool_name': 'HassVacuumStart', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}"
"home1_us_vacuum_vacuum-start_vacuum_in_the_living_room","gemini-2.0-flash","Good","vacuum","reports/assist","Start vacuum in the living room","OK. I've started the vacuum in the Living Room.","{'tool_name': 'HassVacuumStart', 'tool_args': {'domain': ['vacuum'], 'area': 'Living Room'}}"
"home2_ru_valve_water_valve-close_the_front_yard_valve","gemini-2.0-flash","Good","valve","reports/assist","close the front yard valve","OK. I've closed the front yard valve.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': 'valve', 'area': 'Front yard'}}"
"home2_ru_valve_water_valve-close_the_irrigation_valve","gemini-2.0-flash","Good","valve","reports/assist","close the irrigation valve","OK, I've turned off the irrigation valve in the front yard.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': ['Irrigation Valve'], 'domain': ['valve']}}"
"home2_ru_valve_water_valve-open_the_front_yard_valve","gemini-2.0-flash","Good","valve","reports/assist","open the front yard valve","OK. I've opened the irrigation valve in the front yard.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['valve'], 'area': 'Front yard'}}"
"home2_ru_valve_water_valve-open_the_irrigation_valve","gemini-2.0-flash","Bad","valve","reports/assist","open the irrigation valve","Which irrigation valve do you want to open? I have one in Front yard.",""
"home2_ru_valve_water_valve-set_the_irrigation_valve_to_50","gemini-2.0-flash","Good","valve","reports/assist","set the irrigation valve to 50%","OK. I've set the Irrigation Valve to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 50, 'name': 'Irrigation Valve', 'domain': ['valve']}}"
"home5_cn_fan_fan-turn_off_the_bedroom_1_fan","gemini-2.0-flash","Good","fan","reports/assist","Turn off the bedroom 1 fan","OK. I've turned off the fan in Bedroom 1.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['fan'], 'area': 'Bedroom 1'}}"
"home5_cn_fan_fan-turn_off_the_bedroom_fan","gemini-2.0-flash","Good","fan","reports/assist","Turn off the bedroom fan","OK. I've turned off the Bedroom Fan.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['fan'], 'name': 'Bedroom Fan'}}"
"home5_cn_fan_fan-turn_on_the_bedroom_1_fan","gemini-2.0-flash","Good","fan","reports/assist","Turn on the bedroom 1 fan","OK, turning on the bedroom 1 fan.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Bedroom 1', 'domain': ['fan']}}"
"home5_cn_fan_fan-turn_on_the_bedroom_fan","gemini-2.0-flash","Bad","fan","reports/assist","Turn on the bedroom fan","I am sorry, I cannot fulfill this request. I am missing the area. Which area do you want me to turn on?","{'tool_name': 'HassTurnOn', 'tool_args': {'name': ['Bedroom Fan'], 'domain': ['fan']}}"
"home5_cn_light_light-set_the_living_room_light_to_50_brightness","gemini-2.0-flash","Good","light","reports/assist","Set the living room light to 50% brightness","OK. I've set the living room light to 50% brightness.","{'tool_name': 'HassLightSet', 'tool_args': {'brightness': 50, 'area': 'Living Room'}}"
"home7_dk_cover_curtain_cover_curtain-close_the_living_room_curtains","gemini-2.0-flash","Good","cover","reports/assist","Close the living room curtains","OK. I've closed the living room curtains.","{'tool_name': 'HassTurnOff', 'tool_args': {'device_class': ['curtain'], 'domain': ['cover'], 'area': 'Living Room'}}"
"home7_dk_cover_curtain_cover_curtain-close_the_living_room_smart_curtain","gemini-2.0-flash","Good","cover","reports/assist","Close the living room smart curtain","OK. I've closed the smart curtain in the living room.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Living Room', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-close_the_smart_cutains","gemini-2.0-flash","Good","cover","reports/assist","Close the smart cutains","OK.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': 'cover', 'name': 'Smart Curtain'}}"
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_curtains","gemini-2.0-flash","Good","cover","reports/assist","Open the living room curtains","OK, opening the living room curtains.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Living Room', 'domain': ['cover'], 'device_class': ['curtain']}}"
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_smart_curtain","gemini-2.0-flash","Good","cover","reports/assist","Open the living room smart curtain","OK. I've opened the smart curtain in the Living Room.","{'tool_name': 'HassTurnOn', 'tool_args': {'device_class': ['curtain'], 'domain': ['cover'], 'area': 'Living Room'}}"
"home7_dk_cover_curtain_cover_curtain-open_the_smart_curtain","gemini-2.0-flash","Good","cover","reports/assist","Open the smart curtain","OK. I've opened the Smart Curtain.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-set_the_living_room_curtains_to_50","gemini-2.0-flash","Good","cover","reports/assist","Set the living room curtains to 50%","OK. I've set the living room curtains to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'area': 'Living Room', 'domain': ['cover'], 'position': 50, 'device_class': ['curtain']}}"
"home7_dk_cover_curtain_cover_curtain-set_the_smart_curtain_to_50","gemini-2.0-flash","Good","cover","reports/assist","Set the smart curtain to 50%","OK. I've set the Smart Curtain to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'domain': 'cover', 'name': 'Smart Curtain', 'position': 50}}"
"home7_dk_media_player_media_player-mute_the_outdoor_speakers","gemini-2.0-flash","Good","media-player","reports/assist","Mute the outdoor speakers","OK. I've muted the outdoor speakers.","{'tool_name': 'HassSetVolume', 'tool_args': {'domain': ['media_player'], 'device_class': ['speaker'], 'area': 'Rooftop Terrace', 'volume_level': 0}}"
"home7_dk_media_player_media_player-pause_outdoor_speakers","gemini-2.0-flash","Good","media-player","reports/assist","Pause Outdoor Speakers","OK. I've paused the Outdoor Speakers.","{'tool_name': 'HassMediaPause', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}"
"home7_dk_media_player_media_player-pause_the_rooftop_terrace_music","gemini-2.0-flash","Good","media-player","reports/assist","Pause the Rooftop Terrace music","OK. I've paused the Rooftop Terrace music.","{'tool_name': 'HassMediaPause', 'tool_args': {'domain': ['media_player'], 'area': 'Rooftop Terrace'}}"
"home7_dk_media_player_media_player-resume_outdoor_speakers","gemini-2.0-flash","Good","media-player","reports/assist","Resume Outdoor Speakers","OK. I've unpaused Outdoor Speakers.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}"
"home7_dk_media_player_media_player-set_outdoor_speakers_volume_to_50","gemini-2.0-flash","Good","media-player","reports/assist","Set outdoor speakers volume to 50%","OK. I've set the volume of the Outdoor Speakers to 50%.","{'tool_name': 'HassSetVolume', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player'], 'volume_level': 50}}"
"home7_dk_media_player_media_player-skip_song_on_outdoor_speakers","gemini-2.0-flash","Good","media-player","reports/assist","Skip song on outdoor speakers","OK. I skipped to the next song on the Outdoor Speakers.","{'tool_name': 'HassMediaNext', 'tool_args': {'domain': ['media_player'], 'area': 'Rooftop Terrace'}}"
"home7_dk_media_player_media_player-skip_to_the_next_track_on_the_outdoor_speakers","gemini-2.0-flash","Good","media-player","reports/assist","Skip to the next track on the outdoor speakers","OK.","{'tool_name': 'HassMediaNext', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}"
"home7_dk_media_player_media_player-stop_the_outdoor_speakers","gemini-2.0-flash","Good","media-player","reports/assist","Stop the Outdoor Speakers","OK.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}"
"home7_dk_media_player_media_player-turn_the_volume_down_to_50","gemini-2.0-flash","Bad","media-player","reports/assist","Turn the volume down to 50%","Which media player do you want to turn down?",""
"home7_dk_media_player_media_player-unpause_the_rooftop_terrace_music","gemini-2.0-flash","Good","media-player","reports/assist","Unpause the Rooftop Terrace music","OK. I've unpaused the Rooftop Terrace music.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'area': 'Rooftop Terrace', 'domain': ['media_player']}}"
"dom1_pl_lights_lights-dining_room_light_off","gpt-3.5","Good","light","reports/assist","Dining room light off","The Dining Room Light has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Dining Room Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-kitchen_light_off","gpt-3.5","Good","light","reports/assist","Kitchen light off","The Kitchen light has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Kitchen Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light","gpt-3.5","Good","light","reports/assist","Please turn on the kitchen light","The kitchen light has been turned on. Would you like to do anything else?","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Kitchen Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-turn_on_the_backyard_light","gpt-3.5","Good","light","reports/assist","Turn on the Backyard light","The Backyard light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garden Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-turn_on_the_living_room_light","gpt-3.5","Good","light","reports/assist","Turn on the living room light","The Living Room Light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Living Room Light', 'domain': ['light']}}"
